radius, frequency, amplitude, startcharge, endcharge, overtones
16.0, 20.0, 0.0, 0, 10, 0
16.0, 20.0, 0.0, 10, 20, 0
16.0, 20.0, 0.0, 20, 30, 0
16.0, 20.0, 0.0, 30, 40, 0
16.0, 20.0, 0.0, 40, 50, 0
16.0, 20.0, 0.0, 50, 60, 0
16.0, 20.0, 0.0, 60, 70, 0
16.0, 20.0, 0.0, 70, 80, 0
16.0, 20.0, 0.0, 80, 90, 0
16.0, 20.0, 0.0, 90, 100, 0
16.0, 20.0, 0.0, 100, 110, 0
16.0, 20.0, 0.0, 110, 120, 0
16.0, 20.0, 0.0, 120, 130, 0
16.0, 20.0, 0.0, 130, 140, 0
16.0, 20.0, 0.0, 140, 150, 0
16.0, 20.0, 0.0, 150, 160, 0
16.0, 20.0, 0.0, 160, 170, 0
16.0, 20.0, 0.0, 170, 180, 0
16.0, 20.0, 0.0, 180, 190, 0
16.0, 20.0, 0.0, 190, 200, 0
16.0, 20.0, 0.0, 200, 210, 0
16.0, 20.0, 0.0, 210, 220, 0
16.0, 20.0, 0.0, 220, 230, 0
16.0, 20.0, 0.0, 230, 240, 0
16.0, 20.0, 0.0, 240, 250, 0
16.0, 20.0, 0.0, 250, 260, 0
16.0, 20.0, 0.0, 260, 270, 0
16.0, 20.0, 0.0, 270, 280, 0
16.0, 20.0, 0.0, 280, 290, 0
16.0, 20.0, 0.0, 290, 300, 0
16.0, 20.0, 0.0, 300, 310, 0
16.0, 20.0, 0.0, 310, 320, 0
16.0, 20.0, 0.0, 320, 330, 0
16.0, 20.0, 0.1, 0, 10, 0
16.0, 20.0, 0.1, 10, 20, 0
16.0, 20.0, 0.1, 20, 30, 0
16.0, 20.0, 0.1, 30, 40, 0
16.0, 20.0, 0.1, 40, 50, 0
16.0, 20.0, 0.1, 50, 60, 0
16.0, 20.0, 0.1, 60, 70, 0
16.0, 20.0, 0.1, 70, 80, 0
16.0, 20.0, 0.1, 80, 90, 0
16.0, 20.0, 0.1, 90, 100, 0
16.0, 20.0, 0.1, 100, 110, 0
16.0, 20.0, 0.1, 110, 120, 0
16.0, 20.0, 0.1, 120, 130, 0
16.0, 20.0, 0.1, 130, 140, 0
16.0, 20.0, 0.1, 140, 150, 0
16.0, 20.0, 0.1, 150, 160, 0
16.0, 20.0, 0.1, 160, 170, 0
16.0, 20.0, 0.1, 170, 180, 0
16.0, 20.0, 0.1, 180, 190, 0
16.0, 20.0, 0.1, 190, 200, 0
16.0, 20.0, 0.1, 200, 210, 0
16.0, 20.0, 0.1, 210, 220, 0
16.0, 20.0, 0.1, 220, 230, 0
16.0, 20.0, 0.1, 230, 240, 0
16.0, 20.0, 0.1, 240, 250, 0
16.0, 20.0, 0.1, 250, 260, 0
16.0, 20.0, 0.1, 260, 270, 0
16.0, 20.0, 0.1, 270, 280, 0
16.0, 20.0, 0.1, 280, 290, 0
16.0, 20.0, 0.1, 290, 300, 0
16.0, 20.0, 0.1, 300, 310, 0
16.0, 20.0, 0.1, 310, 320, 0
16.0, 20.0, 0.1, 320, 330, 0
16.0, 20.0, 0.11942771623577338, 0, 10, 0
16.0, 20.0, 0.11942771623577338, 10, 20, 0
16.0, 20.0, 0.11942771623577338, 20, 30, 0
16.0, 20.0, 0.11942771623577338, 30, 40, 0
16.0, 20.0, 0.11942771623577338, 40, 50, 0
16.0, 20.0, 0.11942771623577338, 50, 60, 0
16.0, 20.0, 0.11942771623577338, 60, 70, 0
16.0, 20.0, 0.11942771623577338, 70, 80, 0
16.0, 20.0, 0.11942771623577338, 80, 90, 0
16.0, 20.0, 0.11942771623577338, 90, 100, 0
16.0, 20.0, 0.11942771623577338, 100, 110, 0
16.0, 20.0, 0.11942771623577338, 110, 120, 0
16.0, 20.0, 0.11942771623577338, 120, 130, 0
16.0, 20.0, 0.11942771623577338, 130, 140, 0
16.0, 20.0, 0.11942771623577338, 140, 150, 0
16.0, 20.0, 0.11942771623577338, 150, 160, 0
16.0, 20.0, 0.11942771623577338, 160, 170, 0
16.0, 20.0, 0.11942771623577338, 170, 180, 0
16.0, 20.0, 0.11942771623577338, 180, 190, 0
16.0, 20.0, 0.11942771623577338, 190, 200, 0
16.0, 20.0, 0.11942771623577338, 200, 210, 0
16.0, 20.0, 0.11942771623577338, 210, 220, 0
16.0, 20.0, 0.11942771623577338, 220, 230, 0
16.0, 20.0, 0.11942771623577338, 230, 240, 0
16.0, 20.0, 0.11942771623577338, 240, 250, 0
16.0, 20.0, 0.11942771623577338, 250, 260, 0
16.0, 20.0, 0.11942771623577338, 260, 270, 0
16.0, 20.0, 0.11942771623577338, 270, 280, 0
16.0, 20.0, 0.11942771623577338, 280, 290, 0
16.0, 20.0, 0.11942771623577338, 290, 300, 0
16.0, 20.0, 0.11942771623577338, 300, 310, 0
16.0, 20.0, 0.11942771623577338, 310, 320, 0
16.0, 20.0, 0.11942771623577338, 320, 330, 0
16.0, 20.0, 0.14262979405292406, 0, 10, 0
16.0, 20.0, 0.14262979405292406, 10, 20, 0
16.0, 20.0, 0.14262979405292406, 20, 30, 0
16.0, 20.0, 0.14262979405292406, 30, 40, 0
16.0, 20.0, 0.14262979405292406, 40, 50, 0
16.0, 20.0, 0.14262979405292406, 50, 60, 0
16.0, 20.0, 0.14262979405292406, 60, 70, 0
16.0, 20.0, 0.14262979405292406, 70, 80, 0
16.0, 20.0, 0.14262979405292406, 80, 90, 0
16.0, 20.0, 0.14262979405292406, 90, 100, 0
16.0, 20.0, 0.14262979405292406, 100, 110, 0
