,t,stimstate,Qm,Vm,"('m', 'Ih')","('m', 'Im')","('m', 'NaTs2t')","('h', 'NaTs2t')","('m', 'SKv31')",Cm,iax
0,0.0,0.0,-0.00075,-42.86779972963229,0.0,0.0,0.0,0.0,0.0,0.017495649525524026,6.4711246131411125e-28
1,0.0,0.0,-0.00075,-42.86779972963229,0.0,0.0,0.0,0.0,0.0,0.017495649525524026,6.4711246131411125e-28
2,2.5e-05,0.0,-0.0007501204748155396,-42.86779972963229,1.4685080626368708e-09,3.756295069845934e-08,9.660693537070618e-06,3.921998990350004e-07,2.0980272010902502e-08,0.017498459905723136,6.4711246131411125e-28
3,5e-05,1.0,-0.0007501930695639878,-55.63624818658579,1.2093692832407297e-08,8.481260978043376e-08,2.139278202223448e-05,3.991267723377806e-06,4.580440618602606e-08,0.01348389034156447,7.738425266688262e-17
4,7.5e-05,1.0,-0.0007502656450288931,-55.64143809123327,2.2724648092144565e-08,1.3204715684948109e-07,3.312050480711377e-05,7.5915166906899366e-06,7.062082660167168e-08,0.013483936985933209,1.255809854702949e-16
5,9.999999999999999e-05,1.0,-0.0007503382012153039,-55.64662661727208,3.336137230202047e-08,1.7926659566819203e-07,4.484386291943084e-05,1.1192946464871595e-05,9.542953526200165e-08,0.013483983609213204,1.7374669236630836e-16
6,0.00012499999999999998,1.0,-0.0007504107381282677,-55.651813765063146,4.4003863921636956e-08,2.2647092999575785e-07,5.65628573867993e-05,1.4795556709941641e-05,1.2023053417054764e-07,0.013484030211417067,2.2188147865112139e-16
7,0.00015,1.0,-0.0007504832557728307,-55.656999534967326,5.465212141320062e-08,2.7366016359241917e-07,6.827748923675194e-05,1.8399347089992325e-05,1.45023825330579e-07,0.013484076792557396,2.6998544705434566e-16
8,0.00017500000000000003,1.0,-0.0007505557541540376,-55.66218392734538,6.530614323728931e-08,3.20834300216504e-07,7.998775949675466e-05,2.2004317269189255e-05,1.698094107447347e-07,0.01348412335264677,3.1805869780360956e-16
9,0.00020000000000000004,1.0,-0.0007506282332769319,-55.66736694255795,7.596592785602805e-08,3.679933436259089e-07,9.169366919415052e-05,2.5610466911771372e-05,1.945872924150238e-07,0.013484169891697774,3.6610132868805226e-16
10,0.00022500000000000008,1.0,-0.0007507006931465559,-55.67254858096561,8.663147373203073e-08,4.151372975780982e-07,0.00010339521935622949,2.9217795682096225e-05,2.1935747234337695e-07,0.013484216409722971,4.141134351188902e-16
11,0.00025000000000000006,1.0,-0.0007507731337679505,-55.67772884292886,9.730277932733838e-08,4.622661658301028e-07,0.00011509241101018651,3.282630324463999e-05,2.4411995253072763e-07,0.01348426290673492,4.620951101899996e-16
12,0.00027500000000000007,1.0,-0.0007508455551461555,-55.68290772880804,1.0797984310554158e-07,5.093799521370486e-07,0.0001267852451831075,3.6435989263906814e-05,2.68874734977931e-07,0.01348430938274617,5.100464447371883e-16
13,0.0003000000000000001,1.0,-0.0007509179572862093,-55.68808523896349,1.1866266353072004e-07,5.564786602521622e-07,0.0001384737229020251,4.0046853404474064e-05,2.936218216852128e-07,0.013484355837769257,5.579675273934932e-16
14,0.00032500000000000015,1.0,-0.0007509903401931488,-55.69326137375539,1.293512390653149e-07,6.035622939311786e-07,0.00015015784519386275,4.365889533108306e-05,3.183612146523533e-07,0.013484402271816706,6.058584446465272e-16
15,0.00035000000000000016,1.0,-0.00075106270387201,-55.698436133543844,1.400455681754463e-07,6.506308569264642e-07,0.00016183761308547655,4.727211470850297e-05,3.4309291587850384e-07,0.013484448684901043,6.537192808914188e-16
16,0.00037500000000000017,1.0,-0.0007511350483278273,-55.703609518688886,1.5074564932453005e-07,6.976843529914211e-07,0.00017351302760361333,5.088651120162153e-05,3.6781692736237064e-07,0.013484495077034767,7.015501184841986e-16
17,0.0004000000000000002,1.0,-0.000751207373565634,-55.70878152955043,1.6145148097753325e-07,7.447227858760922e-07,0.0001851840897749524,5.450208447535426e-05,3.925332511022147e-07,0.013484541448230384,7.493510377935996e-16
18,0.0004250000000000002,1.0,-0.0007512796795904622,-55.71395216648832,1.721630616009773e-07,7.917461593315559e-07,0.00019685080062607768,5.811883419478061e-05,4.1724188909603534e-07,0.013484587798500381,7.971221172503918e-16
19,0.00045000000000000026,1.0,-0.0007513519664073425,-55.7191214298623,1.8288038965973852e-07,8.387544771084594e-07,0.00020851316118347752,6.173676002500777e-05,4.419428433410204e-07,0.013484634127857234,8.448634333971325e-16
20,0.00047500000000000027,1.0,-0.0007514242340213044,-55.72428932003201,1.9360346362131508e-07,8.8574774295556e-07,0.0002201711724735726,6.535586163126142e-05,4.66636115833913e-07,0.013484680436313418,8.925750609355446e-16
21,0.0005000000000000002,1.0,-0.0007514964824373758,-55.729455837357015,2.0433228195155747e-07,9.327259606197303e-07,0.00023182483552267407,6.897613867884036e-05,4.913217085710117e-07,0.013484726723881388,9.402570727733235e-16
22,0.0005250000000000002,1.0,-0.0007515687116605837,-55.73462098219679,2.150668431178715e-07,9.796891338488733e-07,0.0002434741513570252,7.259759083316188e-05,5.159996235483536e-07,0.013484772990573596,9.87909540069051e-16
23,0.00055,1.0,-0.0007516409216959538,-55.739784754910694,2.2580714558708087e-07,1.0266372663904618e-06,0.00025511912100277355,7.622021775967086e-05,5.406698627611652e-07,0.013484819236402486,1.0355325322768762e-15
24,0.000575,1.0,-0.0007517131125485101,-55.74494715585804,2.3655318782756607e-07,1.073570361990086e-06,0.00026675974548597095,7.984401912397617e-05,5.653324282044118e-07,0.01348486546138048,1.0831261171889942e-15
25,0.0005999999999999998,1.0,-0.0007517852842232758,-55.750108185398005,2.473049683081959e-07,1.1204884243914584e-06,0.00027839602583260107,8.346899459166868e-05,5.89987321872249e-07,0.013484911665520004,1.1306903609788166e-15
26,0.0006249999999999998,1.0,-0.0007518574367252726,-55.75526784388969,2.580624854972552e-07,1.167391457339317e-06,0.0002900279630685379,8.70951438285032e-05,6.146345457587539e-07,0.013484957848833468,1.178225328240478e-15
27,0.0006499999999999998,1.0,-0.0007519295700595209,-55.760426131692114,2.6882573786351494e-07,1.2142794645765237e-06,0.0003016555582195871,9.072246650035308e-05,6.392741018573767e-07,0.013485004011333273,1.2257310820301263e-15
28,0.0006749999999999996,1.0,-0.00075200168423104,-55.76558304916417,2.7959472387730634e-07,1.2611524498469598e-06,0.00031327881231145845,9.435096227307351e-05,6.639059921611241e-07,0.01348505015303182,1.273207683904165e-15
29,0.0006999999999999996,1.0,-0.0007520737792448477,-55.770738596664735,2.903694420083748e-07,1.3080104168911882e-06,0.0003248977263697794,9.798063081268367e-05,6.88530218662194e-07,0.013485096273941476,1.3206551939565389e-15
30,0.0007249999999999994,1.0,-0.0007521458551059606,-55.7758927745525,3.011498907269522e-07,1.3548533694493496e-06,0.0003365123014200814,0.00010161147178527565,7.131467833527058e-07,0.013485142374074624,1.3680736708577605e-15
31,0.0007499999999999994,1.0,-0.000752217911819394,-55.78104558318614,3.119360685037573e-07,1.4016813112626013e-06,0.0003481225384877996,0.00010524348485701442,7.377556882241527e-07,0.01348518845344362,1.4154631718888542e-15
32,0.0007749999999999992,1.0,-0.0007522899493901621,-55.78619702292419,3.227279738099954e-07,1.4484942460687935e-06,0.0003597284385983007,0.00010887666969413777,7.623569352674027e-07,0.013485234512060825,1.4628237529780393e-15
33,0.0007999999999999992,1.0,-0.0007523619678232775,-55.79134709412513,3.3352560511735884e-07,1.4952921776067932e-06,0.00037133000277685504,0.0001125110259630019,7.869505264730629e-07,0.013485280549938571,1.5101554687338424e-15
